Provider Name,Website,Program Name,Description,Day of the week,Start time,End time,Start date,End date,Required Days/Week,Enrollment Type,Min Age,Max Age,Prerequisite,Cost,Number Class,Cost Per Class,Session Length,Cost Per Hour,Address,Interest Category,Enrollment Status,Program Type,School Pickup From,Instructor Language,Contact Email,Contact Phone,Grade_Level
Little Makers Studio,https://www.little-makers-studio.com/,Little Makers After-School,"A hands-on, project-based art program where kids explore painting, sculpture, and mixed media in a fun, guided environment.",Tuesday,3:00 PM,5:30 PM,9/8/2025,12/16/2025,1,"Semester Based, Drop in",4,6,None,800,12,67,2.5,26.67,"255 Flatbush Ave, Brooklyn, NY 11217",Art,Open,Off-site,No,English,info@littlemakersstudio.com,(646) 722-6229,
Little Makers Studio,https://www.little-makers-studio.com/,Little Makers After-School,"A hands-on, project-based art program where kids explore painting, sculpture, and mixed media in a fun, guided environment.",Thursday,3:00 PM,5:30 PM,9/8/2025,12/16/2025,1,"Semester Based, Drop in",4,6,None,800,12,67,2.5,26.67,"255 Flatbush Ave, Brooklyn, NY 11217",Art,Open,Off-site,No,English,info@littlemakersstudio.com,(646) 722-6229,
MyGym City Point,https://www.mygym.com/citypoint/,Ninja Jr,High energy games and team-building activities,Wednesday,3:25 PM,4:25 PM,5/28/2025,6/24/2026,1,Monthly,3.5,6,None,209,4,52,1,52.25,"445 Albee Square West Floor 1A, Brooklyn, NY 11201",Sports,Open,Off-site,No,English,citypoint@mygym.com,(718) 788-2200,
MyGym City Point,https://www.mygym.com/citypoint/,Ninja Jr,High energy games and team-building activities,Friday,4:35 PM,5:35 PM,5/30/2025,6/26/2026,1,Monthly,3.5,6,None,209,4,52,1,52.25,"445 Albee Square West Floor 1A, Brooklyn, NY 11201",Sports,Open,Off-site,No,English,citypoint@mygym.com,(718) 788-2200,
MyGym City Point,https://www.mygym.com/citypoint/,Preschool Gymnastics,"Relays, fundamental gymnastics, and tumbling skills",Tuesday,4:35 PM,5:35 PM,5/27/2025,6/23/2026,1,Monthly,3.5,6,None,209,4,52,1,52.25,"445 Albee Square West Floor 1A, Brooklyn, NY 11201",Sports,Open,Off-site,No,English,citypoint@mygym.com,(718) 788-2200,
MyGym City Point,https://www.mygym.com/citypoint/,Preschool Gymnastics,"Relays, fundamental gymnastics, and tumbling skills",Friday,3:25 PM,4:25 PM,5/27/2025,6/23/2026,1,Monthly,3.5,6,None,209,4,52,1,52.25,"445 Albee Square West Floor 1A, Brooklyn, NY 11201",Sports,Open,Off-site,No,English,citypoint@mygym.com,(718) 788-2200,
MyGym City Point,https://www.mygym.com/citypoint/,Preschool Gymnastics,"Relays, fundamental gymnastics, and tumbling skills",Saturday,11:25 AM,12:25 PM,5/31/2025,6/27/2026,1,Monthly,3.5,6,None,209,4,52,1,52.25,"445 Albee Square West Floor 1A, Brooklyn, NY 11201",Sports,Open,Off-site,No,English,citypoint@mygym.com,(718) 788-2200,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Monday,3:30 PM,4:20 PM,9/8/2025,1/26/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Monday,4:00 PM,4:50 PM,9/8/2025,1/26/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Monday,4:30 PM,5:20 PM,9/8/2025,1/26/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Tuesday,3:00 PM,3:50 PM,9/9/2025,2/3/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Tuesday,3:30 PM,4:20 PM,9/9/2025,2/3/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Tuesday,4:30 PM,5:20 PM,9/9/2025,2/3/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Wednesday,3:00 PM,3:50 PM,9/3/2025,2/4/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Wednesday,3:15 PM,4:05 PM,9/3/2025,2/4/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Wednesday,3:30 PM,4:20 PM,9/3/2025,2/4/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Wednesday,4:30 PM,5:20 PM,9/3/2025,2/4/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Thursday,2:45 PM,3:35 PM,9/4/2025,2/5/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Thursday,3:15 PM,4:05 PM,9/4/2025,2/5/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Thursday,3:30 PM,4:20 PM,9/4/2025,2/5/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Thursday,4:30 PM,5:20 PM,9/4/2025,2/5/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Friday,2:45 PM,3:35 PM,9/5/2025,1/30/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Friday,3:00 PM,3:50 PM,9/5/2025,1/30/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Friday,3:15 PM,4:05 PM,9/5/2025,1/30/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Friday,4:30 PM,5:20 PM,9/5/2025,1/30/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Saturday,8:30 AM,9:20 AM,9/6/2025,1/24/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Saturday,9:00 AM,9:50 AM,9/6/2025,1/24/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Saturday,9:30 AM,10:20 AM,9/6/2025,1/24/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Saturday,10:00 AM,10:50 AM,9/6/2025,1/24/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Saturday,11:00 AM,11:50 AM,9/6/2025,1/24/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Saturday,12:00 PM,12:50 PM,9/6/2025,1/24/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Sunday,8:30 AM,9:20 AM,9/7/2025,1/25/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Sunday,9:00 AM,9:50 AM,9/7/2025,1/25/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Sunday,10:00 AM,10:50 AM,9/7/2025,1/25/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
Gotham Gymnastics,https://www.gothamgymnastics.com/classes,Gotham Kids,Foundational skills of gymnastics,Sunday,10:30 AM,11:20 AM,9/7/2025,1/25/2026,1,Semester Based,3,4,None,"1,240",20,62,0.83,74.4,"316 Douglass St, Brooklyn, NY",Sports,Open,Off-site,No,English,info@gothamgymnastics.com,(718) 722-7211,
